Julie Kagawa,The Iron King,3.88,210172,https://www.goodreads.com/author/show/2995873.Julie_Kagawa
Chelsea M. Cameron,My Favorite Mistake,3.98,56223,https://www.goodreads.com/author/show/5752359.Chelsea_M_Cameron
Tracey Garvis Graves,On the Island,4.11,83192,https://www.goodreads.com/author/show/5193034.Tracey_Garvis_Graves
Abbi Glines,Just for Now,4.23,46340,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Abbi Glines,The Vincent Brothers,4.10,48991,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Raine Miller,Naked,4.01,73879,https://www.goodreads.com/author/show/4930653.Raine_Miller
Tahereh Mafi,Shatter Me,3.88,744546,https://www.goodreads.com/author/show/4637539.Tahereh_Mafi
Cassandra Clare,Clockwork Prince,4.43,537714,https://www.goodreads.com/author/show/150038.Cassandra_Clare
J.R. Ward,Dark Lover,4.16,330029,https://www.goodreads.com/author/show/20248.J_R_Ward
Jillian Dodd,That Boy,3.94,42928,https://www.goodreads.com/author/show/4833990.Jillian_Dodd
Tina Reber,Love Unrehearsed,4.25,44930,https://www.goodreads.com/author/show/3980637.Tina_Reber
Jessica Park,Flat-Out Love,3.99,59092,https://www.goodreads.com/author/show/22159.Jessica_Park
Sarah Dessen,The Truth About Forever,4.12,221258,https://www.goodreads.com/author/show/2987.Sarah_Dessen
Nicole  Williams,Crash,3.97,60680,https://www.goodreads.com/author/show/4887264.Nicole_Williams
Kristen Ashley,Motorcycle Man,4.38,56530,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
S.C. Stephens,Reckless,4.41,77469,https://www.goodreads.com/author/show/4372391.S_C_Stephens
Cynthia Hand,Unearthly,4.01,126534,https://www.goodreads.com/author/show/3290920.Cynthia_Hand
Kiera Cass,The Selection,4.09,1457744,https://www.goodreads.com/author/show/2987125.Kiera_Cass
Cherrie Lynn,Leave Me Breathless,4.24,33228,https://www.goodreads.com/author/show/3190428.Cherrie_Lynn
Shelly Crane,Significance,4.09,44936,https://www.goodreads.com/author/show/4951964.Shelly_Crane
R.K. Lilley,In Flight,4.07,77626,https://www.goodreads.com/author/show/6574132.R_K_Lilley
Sarah Dessen,Just Listen,4.05,245454,https://www.goodreads.com/author/show/2987.Sarah_Dessen
Kelly Elliott,Wanted,3.96,28326,https://www.goodreads.com/author/show/6581091.Kelly_Elliott
Christina Lauren,Beautiful Bastard,3.93,201138,https://www.goodreads.com/author/show/6556689.Christina_Lauren
Simone Elkeles,Chain Reaction,4.09,63191,https://www.goodreads.com/author/show/274533.Simone_Elkeles
J.R. Ward,Lover Eternal,4.33,189922,https://www.goodreads.com/author/show/20248.J_R_Ward
Molly McAdams,From Ashes,4.12,27780,https://www.goodreads.com/author/show/6436698.Molly_McAdams
Sarah J. Maas,A Court of Mist and Fury,4.64,1295711,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas
Veronica Roth,Insurgent,3.98,1443650,https://www.goodreads.com/author/show/4039811.Veronica_Roth
Suzanne Collins,Mockingjay,4.08,3028715,https://www.goodreads.com/author/show/153394.Suzanne_Collins
Susan Ee,Angelfall,4.11,188360,https://www.goodreads.com/author/show/4890182.Susan_Ee
Mia Sheridan,Archer's Voice,4.27,339620,https://www.goodreads.com/author/show/6994378.Mia_Sheridan
Huntley Fitzpatrick,My Life Next Door,3.98,150549,https://www.goodreads.com/author/show/4660036.Huntley_Fitzpatrick
J.R. Ward,Lover Unbound,4.31,132432,https://www.goodreads.com/author/show/20248.J_R_Ward
Jamie McGuire,Providence,3.97,27445,https://www.goodreads.com/author/show/4464118.Jamie_McGuire
Karina Halle,Darkhouse,3.77,17377,https://www.goodreads.com/author/show/4785031.Karina_Halle
Rainbow Rowell,Fangirl,3.96,727390,https://www.goodreads.com/author/show/4208569.Rainbow_Rowell
Colleen Hoover,Maybe Someday,4.05,469328,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Karen Marie Moning,Darkfever,4.06,177610,https://www.goodreads.com/author/show/48206.Karen_Marie_Moning
Olivia Cunning,Backstage Pass,eally liked it 4.00,61155,https://www.goodreads.com/author/show/4062698.Olivia_Cunning
Gail McHugh,Collide,4.19,65318,https://www.goodreads.com/author/show/6860574.Gail_McHugh
Nicholas Sparks,The Notebook,4.14,1623244,https://www.goodreads.com/author/show/2345.Nicholas_Sparks
Michelle Leighton,Up to Me,4.11,33417,https://www.goodreads.com/author/show/1152263.Michelle_Leighton
Kristen Ashley,Mystery Man,4.20,71366,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
K.A. Tucker,Ten Tiny Breaths,4.09,79411,https://www.goodreads.com/author/show/4866520.K_A_Tucker
Tahereh Mafi,Ignite Me,4.47,394280,https://www.goodreads.com/author/show/4637539.Tahereh_Mafi
Kristen Proby,Come Away with Me,3.91,61595,https://www.goodreads.com/author/show/6550037.Kristen_Proby
